name,teams,gender,height,race,weight,eyecolor,haircolor,fullname,alteregos,aliases,placeofbirth,firstappearance,creator,occupation,base,relatives,intelligence,strength,speed,durability,power,combat,superPowers
Hawkeye,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Eddard Stark,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
"Eduardo Dorado,Jr",,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ed,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Eclipso,,Male,0,,,,,,"
","Lladiz, the Spirit of Wrath, Bruce Gordon. Jean Loring, Alex Montez",,,,,,,"<div class=""stat-value"">136</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">84</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">188</div>","<div class=""stat-value"">65</div>","Darkforce Manipulation,Energy Manipulation,Flight,Immortality,Invulnerability,Magic,Possession,Size Changing,Super Speed,Super Strength"
Eddy Gordo,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Echo Zane,,,0,,,,,,"
 ",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Eclipse (Fox),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Big Barda,,Female,188,,135,Blue,Black,Barda Free,"
","Barda, the Strongest Woman in the World",,Mister Miracle (Volume 1) #4,,,"Gotham City, New Genesis, formerly Apokolips","Big Breeda (mother), Scott Free (Mister Miricle, husband), Highfather Izaya (father-in-law, deceased)",,,,,,,"Agility,Durability,Flight,Immortality,Invulnerability,Longevity,Reflexes,Stamina,Super Strength,Toxin and Disease Resistance"
Bibleman,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ed,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Bi-Beast,,Male,229,Android,158,Black,None,,"
","Skull-Brother, Two-Head, Funny-Head",,Incredible Hulk #169,,,Sky Island (Aerie),,"<div class=""stat-value"">160</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">70</div>","<div class=""stat-value"">75</div>","<div class=""stat-value"">30</div>","<div class=""stat-value"">55</div>","Agility,Durability,Intelligence,Invulnerability,Longevity,Stamina,Super Strength"
Amazing Man,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Beyonder (Post-Retcon),,Male,0,Cosmic Entity,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">120</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">304</div>","<div class=""stat-value"">80</div>","Astral Projection,Banish,Dimensional Awareness,Dimensional Travel,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Flight,Force Fields,Immortality,Invulnerability,Matter Manipulation,Reality Warping,Regeneration,Shapeshifting,Size Changing,Spatial Awareness,Super Speed,Super Strength,Telekinesis,Telepathy,Teleportation,Time Manipulation,Vitakinesis,Wishing"
Beyonder,,Male,0,,,,,,"
","Ataxi, The Beyond Realm, Frank, Goblin Force, Goblin King, Goblyn King, Goblin Queen, The One From Beyond, God, Kosmos, Maker",Created in the Beyond ,Marvel Super-Heroes Secret Wars #1,,Former student ,,,,,,,,,"Accelerated Healing,Dimensional Awareness,Energy Absorption,Energy Blasts,Energy Manipulation,Flight,Force Fields,Immortality,Invulnerability,Nigh-Omnipotent,Psionic Powers,Reality Warping,Shapeshifting,Size Changing,Super Speed,Super Strength,Telekinesis,Telepathy,Teleportation"
Bianca Di Angelo,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">136</div>","<div class=""stat-value"">4,000</div>","<div class=""stat-value"">60</div>","<div class=""stat-value"">85</div>","<div class=""stat-value"">145</div>","<div class=""stat-value"">90</div>","Agility,Darkforce Manipulation,Intangibility,Intelligence,Intuitive aptitude,Longevity,Magic,Marksmanship,Summoning,Super Speed,Super Strength,Teleportation,Weapons Master"
Betty Brant,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Beyonders,,,0,Cosmic Entity,,,No Hair,,"
","Ivory Kings, Sinnu Sarrum, White Lords from Wild Space, The Lords of the White Light, (NOT ""Those Who Sit Above In Shadow"")",,Marvel Two-In-One #63,,,Beyond Realm,,"<div class=""stat-value"">170</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">120</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">573</div>","<div class=""stat-value"">85</div>","Acausality,Accelerated Healing,Adaptation,Age Manipulation,Agility,Astral Trap,Astral Travel,Causality Manipulation,Conceptual Manipulation,Darkforce Manipulation,Dimensional Awareness,Dimensional Travel,Energy Absorption,Energy Beams,Energy Blasts,Energy Manipulation,Flight,Force Fields,Gravity Control,Higher Dimensional Manipulation,Immortality,Insanity,Intangibility,Intelligence,Invisibility,Invulnerability,Light Control,Magic Resistance,Marksmanship,Memory Manipulation,Mind Control,Molecular Manipulation,Natural Armor,Necromancy,Nigh-Omnipotent,Omnilingualism,Portal Creation,Power Bestowal,Power Nullifier,Power Sense,Precognition,Reality Warping,Regeneration,Self-Sustenance,Size Changing,Sleep Manipulation,Soul Manipulation,Super Speed,Super Strength,Telekinesis,Telepathy,Telepathy Resistance,Teleportation,Time Manipulation,Time Travel,Toxin and Disease Resistance,Underwater breathing,Weapon-based Powers"
Beta (TWD),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Beta Ray Bill,,Male,201,,216,,No Hair,Beta Ray Bill (translation of his Korbinite name),"
","Beta Ray Thor, Simon Walters",Burning Galaxy,Thor #337,,Guardian of the Korbinite race,"currently New York City, formerly Asgard, formerly the fleet of Korbinite ships.",,,,,,,,"Accelerated Healing,Immortality,Invulnerability,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance"
Echo,,Female,0,,,,,Maya Lopez,"
","Crazy Horse, Ronin",,,,,,,"<div class=""stat-value"">153</div>","<div class=""stat-value"">450</div>","<div class=""stat-value"">54</div>","<div class=""stat-value"">40</div>","<div class=""stat-value"">33</div>","<div class=""stat-value"">100</div>",
Bestla,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Berzerker,,Male,0,Mutant,,,,Ray Carter,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Arkade,,Male,0,,,Red,Black / Blue,,"
",,The first realm,Iron & Stone/70655 The Dragon Pit,,Dragon hunter,Dragon pit,,,,,,,,"Absorption,Agility,Camouflage,Dexterity,Durability,Endurance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Heat Resistance,Insanity,Intelligence,Longevity,Marksmanship,Peak Human Condition,Power Suit,Reflexes,Stamina,Stealth,Summoning,Vision - Night,Weapon-based Powers,Weapons Master"
Bewilderbeast,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Arizona Annie,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Bernadeth,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Arin Sur,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Aries,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Beth Phoenix,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Argent,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Arisia,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">162</div>","<div class=""stat-value"">66,000</div>","<div class=""stat-value"">114</div>","<div class=""stat-value"">95</div>","<div class=""stat-value"">137</div>","<div class=""stat-value"">100</div>","Energy Absorption,Energy Armor,Energy Blasts,Energy Constructs,Flight,Force Fields,Lantern Power Ring,Marksmanship,Reflexes,Stamina,Super Speed,Super Strength,Weapon-based Powers"
Ares (Injustice),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ares (True Form),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ariel,,Female,165,,59,Purple,Pink,Ariel,"
",,,Fallen Angels #1 (1987),,"Leader, refugee alien; former alien mutant-hunter and hedonist",,,,,,,,,"Telepathy,Teleportation"
Ares (DCEU),,Male,0,God / Eternal,,,,,"
","Mars, God of War, Violence, and Bloodlust, God of Truth, Sir Patrick Morgan",,Wonder Woman,,,,"Zeus (father), Diana of Themyscira (Wonder Woman, sister)","<div class=""stat-value"">128</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">90</div>","<div class=""stat-value"">80</div>","<div class=""stat-value"">239</div>","<div class=""stat-value"">100</div>","Accelerated Healing,Agility,Durability,Electrokinesis,Element Control,Empathy,Energy Manipulation,Fire Control,Fire Resistance,Flight,Illusions,Immortality,Invisibility,Matter Manipulation,Mind Control,Power Augmentation,Reflexes,Shapeshifting,Stamina,Super Speed,Super Strength,Telekinesis,Telepathy,Teleportation,Terrakinesis,Toxin and Disease Resistance,Weather Control"
Ares,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ares,,Male,185,,270,Brown,Brown,,"
","God of War, Mister Talon, Mars, Warhawk",,Thor #129,,,"Avengers Tower, formerly Olympus"," Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",,,,,,,"Accelerated Healing,Agility,Durability,Immortality,Reflexes,Stamina,Super Speed,Super Strength"
Aresia,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Arcturus,,Male,0,,119,Green,No Hair,Arcturus,"
",,Ninjago,Spellbound (Flashback),,Anacondrai General.,Tomb,Anacondrai warriors (Cousins),,,,,,,"Accelerated Healing,Agility,Animal Attributes,Animal Control,Animal Oriented Powers,Camouflage,Cold Resistance,Durability,Endurance,Energy Resistance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Fire Resistance,Heat Resistance,Intelligence,Invulnerability,Longevity,Marksmanship,Natural Armor,Natural Weapons,Peak Human Condition,Reflexes,Regeneration,Self-Sustenance,Stamina,Stealth,Summoning,Super Speed,Super Strength,Toxin and Disease Resistance,Vision - Infrared,Vision - Microscopic,Vision - Night,Vision - Telescopic,Vision - Thermal,Weapon-based Powers,Weapons Master"
Arishem The Judge,,Male,0,God / Eternal,,,No Hair,,"
",,,"Eternals #2 (August, 1976)",,Leader of the Fourth Host of Celestials; Judge,,,"<div class=""stat-value"">170</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">114</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">305</div>","<div class=""stat-value"">70</div>","Dimensional Travel,Energy Absorption,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Flight,Force Fields,Illusions,Immortality,Intangibility,Intelligence,Invisibility,Invulnerability,Levitation,Matter Manipulation,Molecular Combustion,Probability Manipulation,Reality Warping,Stamina,Super Speed,Super Strength,Telekinesis,Telepathy,Teleportation,Time Manipulation,Water Control,Weather Control"
Archmage Antonidas,,Male,0,Human,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value"">450</div>","<div class=""stat-value"">84</div>","<div class=""stat-value"">80</div>","<div class=""stat-value"">248</div>","<div class=""stat-value"">100</div>","Astral Travel,Banish,Dimensional Awareness,Element Control,Elemental Transmogrification,Energy Absorption,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Flight,Force Fields,Intelligence,Longevity,Magic,Matter Manipulation,Telepathy,Teleportation,Time Manipulation,Time Travel"
Ares,,Male,208,God / Eternal,162,Red,Black,,"
","God of War, Mars",,,,"God of Conflict, God of War","Hades, formerly Areopagus, Mount Olympus","Zeus (father), Hera (mother), Eris (sister), Harmonia, Lyta, Hippolyta (daughters), Eros, Phobos, Deimos, Lycus (sons), Children of Ares","<div class=""stat-value"">150</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">85</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">269</div>","<div class=""stat-value"">100</div>","Agility,Darkforce Manipulation,Dimensional Travel,Durability,Energy Manipulation,Fire Control,Flight,Illusions,Invulnerability,Longevity,Magic,Mind Control,Molecular Manipulation,Power Augmentation,Reflexes,Resurrection,Shapeshifting,Size Changing,Stamina,Super Speed,Super Strength,Telepathy,Teleportation,Weapons Master"
Arclight,,Female,173,,57,Violet,Purple,Philippa Sontag,"
",,Vietnam,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)",,Terrorist ,,,,,,,,,"Durability,Seismic Power,Stamina,Super Strength"
Delsin Rowe,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ares (GOW),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Delphox,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Delirium Of The Endless,,Female,0,Cosmic Entity,,,,,"
","Mania, formerly Delight of the Endless",,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">120</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">454</div>","<div class=""stat-value"">90</div>","Accelerated Healing,Animal Control,Animal Oriented Powers,Astral Projection,Astral Trap,Astral Travel,Banish,Dimensional Awareness,Dimensional Travel,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Flight,Immortality,Insanity,Magic,Mind Control,Nigh-Omnipresent,Nigh-Omniscient,Omnilingualism,Power Nullifier,Precognition,Psionic Powers,Reality Warping,Regeneration,Shapeshifting,Size Changing,Spatial Awareness,Stamina,Super Speed,Super Strength,Telekinesis,Teleportation,Terrakinesis,Time Manipulation,Time Travel,Water Control,Wishing"
Ardina,,Female,193,,98,White,Orange,,"
",,,The Order #4,,,,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",,,,,,,"Accelerated Healing,Agility,Cold Resistance,Durability,Empathy,Energy Blasts,Energy Manipulation,Enhanced Senses,Flight,Heat Resistance,Invulnerability,Molecular Manipulation,Power Cosmic,Reflexes,Self-Sustenance,Super Speed,Super Strength"
Deku,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value"">600</div>","<div class=""stat-value"">74</div>","<div class=""stat-value"">52</div>","<div class=""stat-value"">69</div>","<div class=""stat-value"">100</div>","Absorption,Agility,Energy Manipulation,Flight,Mind Control Resistance,Power Absorption,Wind Control"
Delsin Rowe,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deimos,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deidara,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Archimonde,,Male,0,Demon,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value"">350,000</div>","<div class=""stat-value"">96</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">293</div>","<div class=""stat-value"">95</div>","Absorption,Darkforce Manipulation,Dimensional Travel,Fire Control,Immortality,Magic,Magic Resistance,Portal Creation,Regeneration,Shapeshifting,Size Changing,Summoning,Super Speed,Super Strength,Telekinesis,Teleportation,Time Manipulation,Vitakinesis"
Deena Pilgrim,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Del Spooner,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Decreator,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deckard Shaw,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deimos (GOW),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Decay,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Dee Jay,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Debrii,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deathwing,,Male,0,God / Eternal,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">114</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">307</div>","<div class=""stat-value"">90</div>","Darkforce Manipulation,Energy Manipulation,Enhanced Senses,Fire Control,Flight,Heat Generation,Immortality,Invisibility,Invulnerability,Light Control,Magic,Mind Control,Reality Warping,Regeneration,Shapeshifting,Size Changing,Summoning,Super Speed,Super Strength,Telekinesis,Telepathy,Vitakinesis"
Decibel,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deathstroke II (CW),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Bouncing Boy,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Boruto Uzumaki,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Bossk,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Decapre,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Boris,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Deidara,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Booster Gold,,Male,196,,97,Blue,Blond,Michael Jon Carter,"
","Bharjwarj, Bloodspot, Boosteroo, Booster, the Boy Wonder, Buster, Deathstroke, Goldstar, Greatest Hero You've Never Heard Of, Guardian of the Multiverse, Jesus Alvarez, Kid, Killer Moth, The King, Loser Gold, Major Idiot, Man of Gold, Michael Carter, Blac","Gotham City, 25th Century",Booster Gold #1,,"Superhero, Founder, C.E.O & Chairman of Booster Gold International","Metropolis, Earth, 21st Century, formerly Gotham City, 25th Century","Jonar Carter (father), Ellen Carter (mother, deceased), Michelle Carter (aka Goldstar) (twin sister), Rip Hunter (son) · Rani (adopted daughter), Daniel Carter (21st century ancestor), Rose Levin (ancestor)",,,,,,,"Agility,Durability,Energy Blasts,Enhanced Hearing,Enhanced Senses,Flight,Force Fields,Intelligence,Invulnerability,Longevity,Power Suit,Precognition,Super Strength,Time Manipulation,Time Travel,Vision - Infrared,Vision - X-Ray,Weapons Master"
Boomerang,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Bor Burison,,Male,196,Asgardian,293,Blue,Red,,"
",Lord of Asgard,,Journey into Mystery #97,,,,"Buri (father), Bestla (wife), Odin Borson (son), Thor Odinson (grandson), Aldrif Odinsdottir (Angela, granddaughter)","<div class=""stat-value"">119</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">120</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">118</div>","<div class=""stat-value"">100</div>","Accelerated Healing,Agility,Electrokinesis,Energy Beams,Energy Blasts,Energy Manipulation,Enhanced Senses,Invulnerability,Longevity,Magic,Reflexes,Stamina,Super Speed,Super Strength,Weapons Master,Wind Control"
Boomer,,Female,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Boromir,,,0,,,,,,"
 ",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Bookworm,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Boodikka,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
